orig,pert
Net cash flow from operations is expected to remain positive .,Net hard cash flow from operations is anticipate to remain positive .
Net cash flow from operations is expected to remain positive .,Net cash flow from operating activities is expected to remain positive.
Net cash flow from operations is expected to remain positive .,Net cash flow from operations is expected to remain positive .
"`` Installation of the automatic varnishing line is an important part of the company 's strategy in the region of central and eastern Europe , '' said Jozef Misurec , the director of Ruukki Slovakia .","`` Installation of the automatic varnishing line is an important part of the company 's strategy in the region of central and eastern Europe , '' said Jozef Misurec , the director of Ruukki Slovakia ."
"Oka specialises in new construction , renovation work of residential and non-residential building as well as premises for industrial and logistical use .","Oka specialise in new edifice , renovation work of residential and non-residential edifice as well as premises for industrial and logistic utilisation ."
"Oka specialises in new construction , renovation work of residential and non-residential building as well as premises for industrial and logistical use .","Oka specializes in new build and renovation works for residential and non-residential buildings, as well as sites for industrial and logistics uses."
"Oka specialises in new construction , renovation work of residential and non-residential building as well as premises for industrial and logistical use .","Oka specialises in new construction , renovation work of residential and non-residential building as well as premises for industrial and logistical use ."
The sale will lead to a pretax capital gain of EUR 22 million for the Finnish company in 2011 .,The sale will result in a pre-tax capital gain of EUR 22 million for 2011 for the Finnish company.
The sale will lead to a pretax capital gain of EUR 22 million for the Finnish company in 2011 .,The sale will lead to a pretax capital gain of EUR 22 million for the Finnish company in 2011 .
"HELSINKI Thomson Financial - Shares closed little changed , with Cargotec and Huhtamaki dropping sharply on disappointing second-quarter reports .","HELSINKI Thomson Financial - Shares ended little changed, with Cargotec and Huhtamaki falling sharply on disappointing second-quarter reports."
"HELSINKI Thomson Financial - Shares closed little changed , with Cargotec and Huhtamaki dropping sharply on disappointing second-quarter reports .","HELSINKI Thomson Financial - Shares closed little changed , with Cargotec and Huhtamaki dropping sharply on disappointing second-quarter reports ."
Nordic Walking was first used as a summer training method by cross-country skiers .,Nordic Walking was first used as a summertime grooming method by cross-country skier .
Nordic Walking was first used as a summer training method by cross-country skiers .,Nordic walking was originally used by cross-country skiers as a summer training method.
Nordic Walking was first used as a summer training method by cross-country skiers .,Nordic Walking was first used as a summer training method by cross-country skiers .
The union filed a grievance over the company 's overtime assignment policies .,The union file a grudge over the company 's overtime assignment policy .
The union filed a grievance over the company 's overtime assignment policies .,The union filed a grievance over the company 's overtime assignment policies .
"Glaston 's well-known brands are Bavelloni , in pre-processing machines and tools , Tamglass and Uniglass in safety glass machines and Albat + Wirsam in software solutions .","Glaston 's well-known brand are Bavelloni , in pre-processing machine and tool , Tamglass and Uniglass in safety glass machine and Albat + Wirsam in computer software solution ."
"Glaston 's well-known brands are Bavelloni , in pre-processing machines and tools , Tamglass and Uniglass in safety glass machines and Albat + Wirsam in software solutions .","Glaston&#39;s well-known brands include Bavelloni in the field of pretreatment machines and tools, Tamglass and Uniglass in the field of safety glass machines and Albat + Wirsam in the field of software solutions."
"Glaston 's well-known brands are Bavelloni , in pre-processing machines and tools , Tamglass and Uniglass in safety glass machines and Albat + Wirsam in software solutions .","Glaston 's well-known brands are Bavelloni , in pre-processing machines and tools , Tamglass and Uniglass in safety glass machines and Albat + Wirsam in software solutions ."
"Fiskars has a strong portfolio of international brands , which include Fiskars , Iittala , Gerber , Silva and Buster .","Fiskars has a strong portfolio of international brands , which include Fiskars , Iittala , Gerber , Silva and Buster ."
EMSA Deputy Chairman of the Board Juri Lember told BNS on Wednesday that this was the first time he heard about the strike as the Swedish side had not informed the Estonian union yet .,"Juri Lember, deputy chairman of the EMSA board of directors, told BNS on Wednesday that this was the first he had heard of the strike, as the Swedish side had not notified the Estonian union."
EMSA Deputy Chairman of the Board Juri Lember told BNS on Wednesday that this was the first time he heard about the strike as the Swedish side had not informed the Estonian union yet .,EMSA Deputy Chairman of the Board Juri Lember told BNS on Wednesday that this was the first time he heard about the strike as the Swedish side had not informed the Estonian union yet .
"Finnish Vaahto Group that provides paper-making technology and process machinery is starting negotiations concerning the temporary lay-offs of all 140 employees at the company 's plants in Hollola and Tampere , in Finland .","Finland&#39;s Vaahto Group, which supplies papermaking technology and processing machinery, is starting talks to temporarily lay off all 140 employees at the company&#39;s plants in Hollola and Tampere, Finland."
"Finnish Vaahto Group that provides paper-making technology and process machinery is starting negotiations concerning the temporary lay-offs of all 140 employees at the company 's plants in Hollola and Tampere , in Finland .","Finnish Vaahto Group that provides paper-making technology and process machinery is starting negotiations concerning the temporary lay-offs of all 140 employees at the company 's plants in Hollola and Tampere , in Finland ."
Kalmar has been awarded a new 5-year contract to supply its Rough Terrain Container Handler RTCH .,Kalmar has been present a new 5-year contract to supply its Rough Terrain Container animal trainer RTCH .
Kalmar has been awarded a new 5-year contract to supply its Rough Terrain Container Handler RTCH .,Kalmar has been awarded a new 5-year contract to supply its Rough Terrain Container Handler RTCH .
"Finnish construction company YIT Corporation is planning to build about 200 high-quality holiday homes near the Tahko ski and spa resort , in Finland .",Finnish construction company YIT Corporation plans to build approximately 200 high-quality holiday homes near the Tahko ski and spa resort in Finland.
"Finnish construction company YIT Corporation is planning to build about 200 high-quality holiday homes near the Tahko ski and spa resort , in Finland .","Finnish construction company YIT Corporation is planning to build about 200 high-quality holiday homes near the Tahko ski and spa resort , in Finland ."
The policy was also aimed at making the companies more profitable and competitive .,The policy was also aimed at making the companies more profitable and competitive .
Operating profit rose to EUR 13.1 mn from EUR 8.7 mn in the corresponding period in 2007 representing 7.7 % of net sales .,Operating profit rose to EUR 13.1 mn from EUR 8.7 mn in the corresponding period in 2007 representing 7.6% of net sales .
The Finnish company previously said its operating result will be lower than the break-even posted a year earlier .,The Finnish company antecedently said its operate result will be lower berth than the break-even posted a year earliest .
The Finnish company previously said its operating result will be lower than the break-even posted a year earlier .,The Finnish company previously said its operating results would be below its break-even point in the same period last year.
The Finnish company previously said its operating result will be lower than the break-even posted a year earlier .,The Finnish company previously said its operating result will be lower than the break-even posted a year earlier .
"26 January 2011 - Finnish metal products company Componenta Oyj ( HEL : CTH1V ) said yesterday its net loss narrowed to EUR500 ,000 in the last quarter of 2010 from EUR5 .3 m for the same period a year earlier .","26 January 2011 - Finnish metal products company Componenta Oyj ( HEL : CTH1V ) said yesterday its net loss narrowed to EUR500 ,000 in the last quarter of 2010 from EUR5 .3 m for the same period a year earlier ."
"At 10.33 am , Huhtamaki was the market 's biggest faller , 8.69 pct lower at 11.35 eur , while the OMX Helsinki 25 was 0.32 pct higher at 3,332.41 , and the OMX Helsinki was up 0.47 pct at 11,687.32 .","At 10.33 am , Huhtamaki was the market 's biggest faller , 8.69 pct lower at 11.35 eur , while the OMSnap Helsinki 25 was 0.32 pct higher at 3,332.41 , and the OMX Helsinki was up 0.47 pct at 11,687.32 ."
Finnish forest machinery manufacturer Ponsse 's net sales grew to EUR 51.3 mn in the first quarter of 2010 from EUR 37.5 mn in the corresponding period in 2009 .,Finnish forest machinery manufacturer Ponsse 's net sales grew to EUR 51.3 mn in the first quarter of 2010 from EUR 37.5 mn in the corresponding period in 2009 .
Pharmaceuticals - Netherlands This brand-new market analysis gives a clear overview of the actual situation and future outlook of the pharmaceutical market in Netherlands .,pharmaceutic - The Netherlands This brand-new market analysis gives a clear overview of the existent situation and futurity mind-set of the pharmaceutic market in The Netherlands .
Pharmaceuticals - Netherlands This brand-new market analysis gives a clear overview of the actual situation and future outlook of the pharmaceutical market in Netherlands .,Pharmaceuticals – Netherlands This new market analysis provides a clear overview of the actual situation and future prospects of the Dutch pharmaceuticals market.
Pharmaceuticals - Netherlands This brand-new market analysis gives a clear overview of the actual situation and future outlook of the pharmaceutical market in Netherlands .,Pharmaceuticals - Netherlands This brand-new market analysis gives a clear overview of the actual situation and future outlook of the pharmaceutical market in Netherlands .
The robust growth was the result of the inclusion of clothing chain Lindex in the Group in December 2007 .,The strong growth was attributed to the addition of clothing chain Lindex to the group in December 2007.
The robust growth was the result of the inclusion of clothing chain Lindex in the Group in December 2007 .,The robust growth was the result of the inclusion of clothing chain Lindex in the Group in December 2007 .
Ruukki signed the contract with Norwegian company Veidekke Entreprenor AS .,Ruukki signed a contract with Norwegian company Veidekke Entreprenor AS.
Ruukki signed the contract with Norwegian company Veidekke Entreprenor AS .,Ruukki signed the contract with Norwegian company Veidekke Entreprenor AS .
"Selects Third Party Logistics Leader Transplace for Best-in-Class Technology , Procurement Capabilities ; Leading Specialty Packaging Manufacturer Employs Complete 3PL Solution for Supply Chain Visibility and Transportation Efficiency to Increase Service Levels and On-Time Deliveries","Selects Third Party Logistics Leader Transplace for Best-in-Class Technology , Procurement Capabilities ; Leading Specialty Packaging Manufacturer Employs Complete 3PL Solution for Supply Chain Visibility and Transportation Efficiency to Increase Service Levels and On-Time Deliveries"
"The agreement , which will cover monitoring , maintenance , server capacity service and backups , has a one-year extension option .","The agreement , which will cover monitoring , maintenance , server capacity service and backups , has a one-year extension option ."
Componenta 's objective with this agreement is to increase business on its existing production lines .,Componenta 's aim with this understanding is to increase business organization on its exist production lines .
Componenta 's objective with this agreement is to increase business on its existing production lines .,Componenta entered into this agreement with the aim of increasing business from its existing product lines.
Componenta 's objective with this agreement is to increase business on its existing production lines .,Componenta 's objective with this agreement is to increase business on its existing production lines .
Mobile communication and wireless broadband provider Nokia Inc NYSE : NOK today set new financial targets and forecasts for Nokia and the mobile device industry and also for Nokia Siemens Networks and the mobile and fixed infrastructure and related services market .,Mobile communications and wireless broadband provider Nokia Corporation NYSE:NOK today set new financial targets and forecasts for Nokia and the mobile device industry and Nokia Siemens Networks and mobile and fixed infrastructure and related services markets.
Mobile communication and wireless broadband provider Nokia Inc NYSE : NOK today set new financial targets and forecasts for Nokia and the mobile device industry and also for Nokia Siemens Networks and the mobile and fixed infrastructure and related services market .,Mobile communication and wireless broadband provider Nokia Inc NYSE : NOK today set new financial targets and forecasts for Nokia and the mobile device industry and also for Nokia Siemens Networks and the mobile and fixed infrastructure and related services market .
"`` The transaction strengthens our position ... in design and branded goods , '' said Fiskars president and CEO Heikki Allonen , pointing out that the two groups have relatively few overlapping operations .","`` The transaction strengthens our position ... in design and branded goods , '' said Fiskars president and CEO Heikki Allonen , pointing out that the two groups have relatively few overlapping operations ."
This PC application allows users to copy files and other data from their Nokia mobile device to their computer as well as create backup content .,This PC application allows users to copy files and other data from their Nokia mobile device to their computer as well as create backup content .
"It generated an operating loss of EUR 96.3 mn , down from a profit of EUR 43.9 mn .","It generated an operating loss of EUR 96.3 mn , down from a profit of EUR 43.9 mn ."
Pretax profit decreased by 37 % to EUR 193.1 mn from EUR 305.6 mn .,Pretax profit decreased by 36.8% to EUR 193.1 mn from EUR 305.6 mn .
"When this information was released on 5 September 2008 , Nokia 's American Depositary shares fell by 8 % .","When this information was released on 5 September 2008 , Nokia 's American Depositary shares fell by 7.8% ."
The cooperation with airBaltic is expected to lead to the transfer of Finncomm to the ownership of airBaltic in time .,The cooperation with airBaltic is anticipate to lead to the transferral of Finncomm to the ownership of airBaltic in clip .
The cooperation with airBaltic is expected to lead to the transfer of Finncomm to the ownership of airBaltic in time .,The partnership with AirBaltic is expected to result in the timely transfer of ownership of Finncomm to AirBaltic.
The cooperation with airBaltic is expected to lead to the transfer of Finncomm to the ownership of airBaltic in time .,The cooperation with airBaltic is expected to lead to the transfer of Finncomm to the ownership of airBaltic in time .
"Viking Line 's cargo revenue increased by 5.4 % to EUR 21.46 mn , and cargo volume increased by 2.4 % to 70,116 cargo units .","Viking Line 's cargo revenue increased by 5.6% to EUR 21.46 mn , and cargo volume increased by 2.2% to 70,116 cargo units ."
`` We know there are some of our own people out there . '',`` We know there are some of our own people out there . ''
`` We know there are some of our own people out there . '',&quot;We know there are some of our own people out there. &quot;
"`` We hope to clarify our policies to Finnish businesses where there are any gray areas , '' Motlanthe said .","`` We hope to elucidate our policies to Finnish business concern where there are any grey area , '' Motlanthe tell ."
"`` We hope to clarify our policies to Finnish businesses where there are any gray areas , '' Motlanthe said .","`` We hope to clarify our policies to Finnish businesses where there are any gray areas , '' Motlanthe said ."
"Budapest , August 10 MTI - Finnish electronics maker Elcoteq will lay off 700 workers at its plants in Pecs S Hungary at the end of September because of falling orders , communications director for Elcoteq 's local unit , Zoltan Krippl told MTI on Monday .","Budapest, August 10 MTI Finnish electronics manufacturer Elcoteq will lay off 700 workers at its Pécs South plant in Hungary at the end of September due to falling orders, Zoltan Krippl, communications director for the local unit, told MTI on Monday."
"Budapest , August 10 MTI - Finnish electronics maker Elcoteq will lay off 700 workers at its plants in Pecs S Hungary at the end of September because of falling orders , communications director for Elcoteq 's local unit , Zoltan Krippl told MTI on Monday .","Budapest , August 10 MTI - Finnish electronics maker Elcoteq will lay off 700 workers at its plants in Pecs S Hungary at the end of September because of falling orders , communications director for Elcoteq 's local unit , Zoltan Krippl told MTI on Monday ."
The expansion includes the doubling of the floor space and the addition of more lifting capacity and production equipment .,The expansion includes the doubling of the floor space and the addition of more lifting capacity and production equipment .
"The company had net sales of EUR 10.8 million in 2008 , and today has approximately 120 employees in Finland , Estonia and Poland .","The company had internet sales of EUR 10.8 million in 2008 , and today has some 120 employee in Republic of Finland , Esthonia and Polska ."
"The company had net sales of EUR 10.8 million in 2008 , and today has approximately 120 employees in Finland , Estonia and Poland .","The company had net sales of EUR 10.8 million in 2008 and currently employs approximately 120 people in Finland, Estonia and Poland."
"The company had net sales of EUR 10.8 million in 2008 , and today has approximately 120 employees in Finland , Estonia and Poland .","The company had net sales of EUR 10.8 million in 2008 , and today has approximately 120 employees in Finland , Estonia and Poland ."
Finnish meat company Atria can no longer promise a sufficient amount of domestic beef to its customers .,Finnish meat company Atria can no longer promise its customers sufficient quantities of domestically produced beef.
Finnish meat company Atria can no longer promise a sufficient amount of domestic beef to its customers .,Finnish meat company Atria can no longer promise a sufficient amount of domestic beef to its customers .
"The company intends to launch housing development at the acquired land plots and to construct 50,000-60 ,000 square metres of housing per annum by 2011 .","The company plans to carry out housing development on the acquired land and build 50,000 to 60,000 square meters of housing annually by 2011."
"The company intends to launch housing development at the acquired land plots and to construct 50,000-60 ,000 square metres of housing per annum by 2011 .","The company intends to launch housing development at the acquired land plots and to construct 50,000-60 ,000 square metres of housing per annum by 2011 ."
"YIT CORPORATION SEPT. 24 , 2007 at 13:30 CORPORATE RELEASE STOCK EXCHANGE RELEASE YIT 'S CAPITAL MARKETS DAY IN LONDON , SEPT. 26 , 2007 On Wednesday , September 26 , 2007 , YIT will hold a Capital Markets Day for investors and analysts in London .","YIT corp SEPT. twenty-four , 2007 at 13:30 CORPORATE RELEASE STOCK EXCHANGE RELEASE YIT 'S working capital market place twenty-four hours IN LONDON , SEPT. twenty-six , 2007 On Wednesday , Sep twenty-six , 2007 , YIT will clutch a working capital marketplace solar day for investors and analysts in London ."
"YIT CORPORATION SEPT. 24 , 2007 at 13:30 CORPORATE RELEASE STOCK EXCHANGE RELEASE YIT 'S CAPITAL MARKETS DAY IN LONDON , SEPT. 26 , 2007 On Wednesday , September 26 , 2007 , YIT will hold a Capital Markets Day for investors and analysts in London .","YIT Company September 24 February 2007 13:30 Company Release Stock Exchange Release YIT Capital Markets Day, September London 26 September 2007 On Wednesday 26 September 2007, YIT will host a Capital Markets Day event for investors and analysts in London."
"YIT CORPORATION SEPT. 24 , 2007 at 13:30 CORPORATE RELEASE STOCK EXCHANGE RELEASE YIT 'S CAPITAL MARKETS DAY IN LONDON , SEPT. 26 , 2007 On Wednesday , September 26 , 2007 , YIT will hold a Capital Markets Day for investors and analysts in London .","YIT CORPORATION SEPT. 24 , 2007 at 13:30 CORPORATE RELEASE STOCK ESnapCHANGE RELEASE YIT 'S CAPITAL MARKETS DAY IN LONDON , SEPT. 26 , 2007 On Wednesday , September 26 , 2007 , YIT will hold a Capital Markets Day for investors and analysts in London ."
"Salcomp Oyj , the Finnish maker of mobile phone chargers , Monday posted a EUR1 .49 million loss in the second quarter compared with a 1.70 million profit in the same period the previous year .","Salcomp Oyj , the Suomi shaper of mobile telephone chargers , Monday posted a EUR1 .49 million loss in the s fourth part compare with a 1.70 million profit in the same time period the old yr ."
"Salcomp Oyj , the Finnish maker of mobile phone chargers , Monday posted a EUR1 .49 million loss in the second quarter compared with a 1.70 million profit in the same period the previous year .","Salcomp Oyj , the Finnish maker of mobile phone chargers , Monday posted a EUR1 .49 million loss in the second quarter compared with a 1.70 million profit in the same period the previous year ."
Earnings per share ( EPS ) amounted to a loss of EUR0 .05 .,Earnings per share ( EPS ) amounted to a loss of EUR0 .05 .
Mr. Doring has been with Eaton since 1989 and acted as the Business Unit Manager for Eaton 's Power Controls Business Unit since January 2007 .,Mr. Doring has been with Eaton since 1989 and has served as business unit manager for Eaton&#39;s Power Controls business unit since January 2007.
Mr. Doring has been with Eaton since 1989 and acted as the Business Unit Manager for Eaton 's Power Controls Business Unit since January 2007 .,Mr. Doring has been with Eaton since 1989 and acted as the Business Unit Manager for Eaton 's Power Controls Business Unit since January 2007 .
"Comparable operating profit for the quarter decreased from EUR510m while sales increased from EUR860m , as compared to the third quarter 2007 .","Comparable operating profit for the quarter decreased from EUR510m while sales increased from EUR860m , as compared to the third quarter 2007 ."
Return on capital employed rose by 4.8 percentage points to 19.6 % .,Return on working capital employed rose by 4.8 pct point to 19.6 % .
Return on capital employed rose by 4.8 percentage points to 19.6 % .,Return on capital employed rose by 4.8 percentage points to 19.7% .
"Sampo Bank 's market share of lending was 13.6 % , down from 14.4 % in the first quarter of 2008 .","Sampo Bank 's market place percentage of loaning was 13.6 % , down from 14.4 % in the number one one-fourth of 2008 ."
"Sampo Bank 's market share of lending was 13.6 % , down from 14.4 % in the first quarter of 2008 .","Sampo Bank 's market share of lending was 13.8% , down from 14.5% in the first quarter of 2008 ."
"Belarus OAO Lidskoe Pivo brewery , based in the Grodno Region , reported a 1.1 % decrease in output to 1.045 million decaliters in January-March 2010 , a representative in the administration of the company told .","Belarus OAO Lidskoe Pivo brewery , based in the Grodno Region , reported a 1.2% decrease in output to 1.045 million decaliters in January-March 2010 , a representative in the administration of the company told ."
The company will enhance the GPRS capability in the existing 12 IDEA telecom service areas and add 10 more service areas to its network .,The company will enhance the GPRS capabilities of the existing 12 IDEA Telecom service areas and add 10 more service areas to its network.
The company will enhance the GPRS capability in the existing 12 IDEA telecom service areas and add 10 more service areas to its network .,The company will enhance the GPRS capability in the existing 12 IDEA telecom service areas and add 10 more service areas to its network .
"We are glad that our long co-operation with SODRA continues '' , comments Stig-Goran Sandberg , Affecto 's Area Manager for Baltic operations .","We are pleased that our long-standing cooperation with SODRA is continuing,” commented Stig-Goran Sandberg, Area Manager for Affecto’s Baltic Sea operations."
"We are glad that our long co-operation with SODRA continues '' , comments Stig-Goran Sandberg , Affecto 's Area Manager for Baltic operations .","We are glad that our long co-operation with SODRA continues '' , comments Stig-Goran Sandberg , Affecto 's Area Manager for Baltic operations ."
All reproduction for further distribution is prohibited .,All reproduction for further statistical distribution is prohibit .
All reproduction for further distribution is prohibited .,Any reproduction for further distribution is prohibited.
All reproduction for further distribution is prohibited .,All reproduction for further distribution is prohibited .
"The Tekla Structures 16 installation has been built according to Microsoft 's requirements for the Windows 7 certification , the Company added .","The Tekla construction sixteen installment has been build harmonize to Microsoft 's requirements for the Windows 7 certification , the Company added ."
"The Tekla Structures 16 installation has been built according to Microsoft 's requirements for the Windows 7 certification , the Company added .","The Tekla Structures 16 installation has been built according to Google 's requirements for the Windows 7 certification , the Company added ."
The shopping center will have a prime location right next to the Myllypuro metro station .,The shopping center will have a prime location right next to the Myllypuro metro station .
"Proha Plc ( Euronext :7327 ) announced today ( 19 May ) that its fully-owned subsidiary , Safran Software Solutions AS , has agreed to sell its 49 % share of Safran North America LLC to a SNA Holding AS , an investment group based in Norway .","Proha Plc ( Euronext :7327 ) denote today ( nineteen May ) that its fully-owned subordinate , Safran software system solution arsenic , has agree to sell its forty-nine % percentage of Safran North America LLC to a SNA keeping arsenic , an investment grouping based in Noreg ."
"Proha Plc ( Euronext :7327 ) announced today ( 19 May ) that its fully-owned subsidiary , Safran Software Solutions AS , has agreed to sell its 49 % share of Safran North America LLC to a SNA Holding AS , an investment group based in Norway .","Proha Plc ( Euronext :7327 ) announced today ( 19 May ) that its fully-owned subsidiary , Safran Software Solutions AS , has agreed to sell its 49.1% share of Safran North America LLC to a SNA Holding AS , an investment group based in Norway ."
"Acando AB ( ACANB SS ) fell 8.9 percent to 13.35 kronor , the lowest close since Dec. 11 .","Acando AB ( ACANB SS ) fell 8.9 percent to 13.35 kronor , the lowest close since Dec. 11 ."
Technopolis 's technological centers supply their clients with modern high-class premises .,Technopolis 's technological centre supply their client with modern high-toned premises .
Technopolis 's technological centers supply their clients with modern high-class premises .,Technopolis 's technological centers supply their clients with modern high-class premises .
Diluted earnings per share ( EPS ) rose to EUR 3.68 from EUR 0.50 .,Diluted earnings per share (EPS) rose from 0.50 euros to 3.68 euros.
Diluted earnings per share ( EPS ) rose to EUR 3.68 from EUR 0.50 .,Diluted earnings per share ( EPS ) rose to EUR 3.68 from EUR 0.50 .
Market share decreased on the route between Helsinki in Finland and Tallinn in Estonia by 0.1 percentage points to 24.8 % .,"The market share of the route from Helsinki, Finland to Tallinn, Estonia fell by 0.1 percentage points to 24.8%."
Market share decreased on the route between Helsinki in Finland and Tallinn in Estonia by 0.1 percentage points to 24.8 % .,Market share decreased on the route between Helsinki in Finland and Tallinn in Estonia by 0.1 percentage points to 24.9% .
"Operating loss totalled EUR 4.0 mn , compared to a profit of EUR 8.6 mn in the second quarter of 2008 .","Operating loss totalled EUR 4.0 mn , compared to a profit of EUR 8.6 mn in the second quarter of 2008 ."
"Operating loss totalled EUR 0.3 mn , down from a profit of EUR 5.1 mn in the first half of 2009 .","operate loss total EUR 0.3 mn , down from a lucre of EUR 5.1 mn in the number one one-half of 2009 ."
"Operating loss totalled EUR 0.3 mn , down from a profit of EUR 5.1 mn in the first half of 2009 .","Operating loss totalled EUR 0.3 mn , down from a profit of EUR 5.1 mn in the first half of 2009 ."
Stora Enso Oyj said its second-quarter result would fall by half compared with the same period in 2007 .,Stora Enso Oyj said its second-quarter event would fall by one-half compare with the same time period in 2007 .
Stora Enso Oyj said its second-quarter result would fall by half compared with the same period in 2007 .,Stora Enso said its second-quarter results would fall by half from the same period in 2007.
Stora Enso Oyj said its second-quarter result would fall by half compared with the same period in 2007 .,Stora Enso Oyj said its second-quarter result would fall by half compared with the same period in 2007 .
Actions to improve operational efficiency and adjust operations are expected to deliver annualised permanent cost savings of around EUR 4.5 million and will be effected mostly during the first half of 2010 .,Actions to improve operational efficiency and adjust operations are expected to deliver annualised permanent cost savings of around EUR 4.5 million and will be effected mostly during the first half of 2010 .
"Liquid handling products include electronic and mechanical pipettes , disposable tips as well as pipette maintenance and calibration services for research institutions , healthcare and industrial laboratories .","Liquid handling merchandise include electronic and mechanical pipet , disposable tips as well as pipet care and standardization services for research institutions , health care and industrial science laboratory ."
"Liquid handling products include electronic and mechanical pipettes , disposable tips as well as pipette maintenance and calibration services for research institutions , healthcare and industrial laboratories .","Liquid handling products include electronic and mechanical pipettes, disposable tips and pipette maintenance and calibration services for research institutions, healthcare and industrial laboratories."
"Liquid handling products include electronic and mechanical pipettes , disposable tips as well as pipette maintenance and calibration services for research institutions , healthcare and industrial laboratories .","Liquid handling products include electronic and mechanical pipettes , disposable tips as well as pipette maintenance and calibration services for research institutions , healthcare and industrial laboratories ."
"HELSINKI AFX - Kesko Corp is expected to report a lower second quarter EPS today due to tax charges , but other earnings lines are seen higher year-on-year , analysts said .","HELSINKI AFX - Kesko corporation is expect to report a lower s fourth part EPS today due to tax charge , but other earnings line are seen higher year-on-year , analyst say ."
"HELSINKI AFX - Kesko Corp is expected to report a lower second quarter EPS today due to tax charges , but other earnings lines are seen higher year-on-year , analysts said .","HELSINKI AFSnap - Kesko Corp is expected to report a lower second quarter EPS today due to tax charges , but other earnings lines are seen higher year-on-year , analysts said ."
"ADP News - Nov 13 , 2008 - Finnish printed circuit board PCB maker Aspocomp Group Oyj OMX : ACG1V said today that its net loss narrowed to EUR 2 million USD 2.5 m in the first nine months of 2008 from EUR 57","ADP News - Nov 13 , 2008 - Finnish printed circuit board PCB maker Aspocomp Group Oyj OMSnap : ACG1V said today that its net loss narrowed to EUR 2 million USD 2.5 m in the first nine months of 2008 from EUR 57"
"Our customers include companies in the energy and process industry sectors , in particular .",Our customers include companies in the energy and process industries in particular.
"Our customers include companies in the energy and process industry sectors , in particular .","Our customers include companies in the energy and process industry sectors , in particular ."
It estimates the operating profit to further improve from the third quarter .,It expects operating profit to improve further from the third quarter.
It estimates the operating profit to further improve from the third quarter .,It estimates the operating profit to further improve from the third quarter .
"Operating profit fell to EUR 35.4 mn from EUR 68.8 mn in 2007 , including vessel sales gain of EUR 12.3 mn .","Operating profit fell to EUR 35.4 mn from EUR 68.8 mn in 2007 , including vessel sales gain of EUR 12.3 mn ."
HELSINKI ( AFX ) - KCI Konecranes said that Franklin Resources Inc 's share of voting rights in the Finnish cranes company fell last week to 4.65 pct from more than 9 pct in October 2005 .,HELSINKI ( AFSnap ) - KCI Konecranes said that Franklin Resources Inc 's share of voting rights in the Finnish cranes company fell last week to 4.65 pct from more than 9 pct in October 2005 .
"Operating profit for the 12-month period decreased from EUR17 .9 m while net sales increased from EUR58 .3 m , as compared to 2007 .","operate profit for the 12-month time period lessen from EUR17 .9 m while internet gross sales increased from EUR58 .3 m , as compare to 2007 ."
"Operating profit for the 12-month period decreased from EUR17 .9 m while net sales increased from EUR58 .3 m , as compared to 2007 .","Operating profit for the 12-month period decreased from EUR17 .9 m while net sales increased from EUR58 .3 m , as compared to 2007 ."
Earnings per share ( EPS ) amounted to a loss of to EUR0 .06 .,Earnings per share ( EPS ) amounted to a loss of to EUR0 .06 .
"Kemira 's R&D organization comprises approximately 750 people , the company said .","Kemira 's R&D organisation consist roughly 750 people , the company said ."
"Kemira 's R&D organization comprises approximately 750 people , the company said .","Kemira 's R&D organization comprises approximately 750 people , the company said ."
"Finnish Exel Composites , a technology company that designs , manufactures , and markets composite profiles and tubes for various industrial applications , reports its net sales decreased by 0.6 % in the second quarter of 2010 to EUR 19.2 mn from EUR 19.3 mn in the corresponding period in 2009 .","Finnish Exel Composites , a technology company that designs , manufactures , and markets composite profiles and tubes for various industrial applications , reports its net sales decreased by 0.5% in the second quarter of 2010 to EUR 19.2 mn from EUR 19.3 mn in the corresponding period in 2009 ."
"Von Koskull will oversee a new unit of Nordea , which brings together corporate merchant banking , financial institutions and capital markets products divisions .","Von Koskull will supervise a new unit of measurement of Nordea , which brings together corporate merchandiser banking , financial institutions and working capital market product divisions ."
"Von Koskull will oversee a new unit of Nordea , which brings together corporate merchant banking , financial institutions and capital markets products divisions .","Von Koskull will be responsible for a new unit at Nordea that brings together corporate commercial banking, financial institutions and capital markets products."
"Von Koskull will oversee a new unit of Nordea , which brings together corporate merchant banking , financial institutions and capital markets products divisions .","Von Koskull will oversee a new unit of Nordea , which brings together corporate merchant banking , financial institutions and capital markets products divisions ."
"Elisa said mobile subscriptions grew 7 percent during 2007 , mainly because of customers adopting so-called third generation mobile technology .","Elisa said the number of mobile users grew by 7% in 2007, mainly due to customers adopting so-called third-generation mobile technology."
"Elisa said mobile subscriptions grew 7 percent during 2007 , mainly because of customers adopting so-called third generation mobile technology .","Elisa said mobile subscriptions grew 7 percent during 2007 , mainly because of customers adopting so-called third generation mobile technology ."
"( ADP News ) - Dec 11 , 2008 - Finnish construction and engineering company Outotec Oyj ( OMX : OTE1V ) said today it won a EUR 28 million ( USD 36.8 m ) order to expand the phosphate concentrator in Siilinjarvi of Norwegian minera","(ADP News) - December 11, 2008 - Finnish construction and engineering company Outotec Oyj (OMX: OTE1V) said today it has won a €28 million ($36.8 million) order to expand the phosphate concentrator at the Siilinjarvi mine in Norway."
